"","x"
"1","QA2_impinftv"
"2","QA2_impinfrad"
"3","QA2_impinfine"
"4","QA2_impinfnews"
"5","Q4A_relpnews"
"6","Q4A_reltv"
"7","Q4A_relrad"
"8","Q4A_relonews"
"9","Q4A_relsclm"
"10","Q4A_relsrch"
"11","QA8_Trmost"
"12","QA9X_read"
"13","QA9_Intnet"
"14","QB1_agttry"
"15","QB1_agtbet"
"16","QB1_aganon"
"17","QB1_agcred"
"18","QB1_agprov"
"19","QB1_agtdate"
"20","QB1_agpdat"
"21","QB1_agai"
"22","QB2_actsport"
"23","QB2_actloc"
"24","QB2_actunion"
"25","QB2_actenv"
"26","QB2_actpol"
"27","QB2_actchar"
"28","QB2_actrel"
"29","QP7_p_direc"
"30","QP7_p_pwill"
"31","QP7_p_peop"
"32","QP7_p_prun"
"33","QP7_p_ptalk"
"34","QP7_p_psell"
"35","QI1"
"36","QM1_Mob"
"37","QM2_Mods"
"38","QH7_hhcabsat"
"39","QH7_hhtab"
"40","QH7_hhgame"
"41","QH7_hhtv"
"42","QH7_hhwear"
"43","QH7_hhstrem"
"44","QH7_hhpva"
"45","QH9_Ncomp"
"46","QH10_Usecomp"
"47","QH13_User"
"48","QC39_u_time"
"49","QC30_u_frbuy"
"50","QC30_u_frbills"
"51","QC30_u_frbank"
"52","QC30_u_frcomp"
"53","QC30_u_frfood"
"54","QC30_u_frsell"
"55","QC33_locserv"
"56","QC33_loctax"
"57","QC33_govserv"
"58","QC33_govtax"
"59","QC33_sch"
"60","QC33_mp"
"61","QC33_policy"
"62","QC33_govweb"
"63","QC6_u_ability"
"64","QH6_hhfast"
"65","QR1_s_fb"
"66","QR1_s_li"
"67","QR1_s_tw"
"68","QR1_s_dat"
"69","QR1_s_pin"
"70","QR1_s_goo"
"71","QR1_s_ins"
"72","QR1_s_sna"
"73","QR1_s_vid"
"74","QR1_s_oth"
"75","QC8"
"76","QC39_u_time"
"77","QC9"
"78","QC10"
"79","QS1_s_freq"
"80","QS2_s_wheng"
"81","QS4_s_chek"
"82","QI9"
"83","QC11"
"84","QC12_u_com_addr"
"85","QC12_u_comdob"
"86","QC12_u_compho"
"87","QC12_u_comcred"
"88","QC12_u_compix"
"89","QC40_u_fund"
"90","QC41_u_ad"
"91","QC21"
"92","QC22"
"93","QC23"
"94","QC43_u_padd"
"95","QC43_u_pshop"
"96","QC43_u_pmed"
"97","QC43_u_pmar"
"98","QC43_u_page"
"99","QC30"
"100","QC33"
"101","QN1_u_conad"
"102","QN1_u_convir"
"103","QN1_u_concom"
"104","QN1_u_conpay"
"105","QN2"
"106","QN3"
"107","QN4"
"108","QI2_ageasy"
"109","QI2_agfrust"
"110","QI2_agimmor"
"111","QI2_agaddict"
"112","QI2_agexh"
"113","QI8"
"114","QP1_p_int"
"115","QP2_p_party"
"116","QP3"
"117","QP4_p_censor"
"118","QP4_p_caresay"
"119","QP4_p_hideinf"
"120","QP4_p_freesay"
"121","QP4_p_efqual"
"122","QP4_p_efund"
"123","QP4_p_efeasy"
"124","QP4_p_efgood"
"125","QP5"
"126","QP6_p_clim"
"127","QP6_p_immig"
"128","QL2_Edntt"
"129","QO1_Labfor"
"130","QO4E_grader"
"131","QO5_cie"
"132","QO6E_gradec"
"133","QD1_yrborn2"
"134","QD1_yrborn2"
"135","QD2_gender"
"136","QD3_marstat"
"137","QD4_adulthh"
"138","QD5_childhh"
"139","QD14_ethnic"
"140","QD16_disab"
"141","QD18_urbrur"
"142","Q2"
"143","Q3_agshy"
"144","Q3_agoutgo"
"145","Q3_agnocon"
"146","Q3_agsucc"
"147","Q3_agown"
"148","Q3_agright"
"149","Q3_agnoler"
"150","Q3_agopp"
"151","Q3_agideal"
"152","Q3_agcare"
"153","Q3_agdislife"
"154","Q3_aginjus"
"155","Q4A_relpnews"
"156","Q4A_reltv"
"157","Q4A_relrad"
"158","Q4A_relonews"
"159","Q4A_relsclm"
"160","Q4A_relsrch"
"161","Q4_u_frgamb"
"162","Q4_u_frsex"
